Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
40131,Rogers County,90,-95.62,36.38,1842.97,0.05,0.69,,,,0.0,8.0,0.0,0.0,9.0,0.0,3051.0,250.0,176692.0,1211.0,90.0,62785.0,445.0,23.0,18902.0,874.0,100.0,66546.0,243.0,86.0,8790.0,1135.0,138.0,80232.0,699.0,13.0,75176.0,1037.0,98.0,39103.0,38.0,11.0,548.0,2732.0,174.0,115635.0,0.0,20.0,0.0,2256.0,123.0,33147.0,956.0,166.0,23017.0,,,
40133,Seminole County,25,-81.24,28.72,1658.75,0.02,0.1,,,,408.0,38.0,20846.0,0.0,5.0,0.0,188.0,35.0,8618.0,101.0,19.0,5242.0,44.0,8.0,1274.0,196.0,38.0,7955.0,55.0,17.0,2569.0,84.0,27.0,2537.0,,,,47.0,11.0,1796.0,,,,1142.0,47.0,31380.0,168.0,8.0,4567.0,463.0,41.0,6005.0,166.0,51.0,3339.0,,,
40135,Sequoyah County,41,-94.74,35.5,1849.61,0.02,0.72,,,,74.0,5.0,3298.0,,,,161.0,43.0,6228.0,66.0,14.0,1423.0,45.0,9.0,1488.0,325.0,59.0,12055.0,32.0,14.0,961.0,133.0,42.0,3598.0,20.0,4.0,983.0,399.0,18.0,6589.0,,,,2522.0,76.0,49918.0,161.0,9.0,5214.0,1298.0,72.0,26841.0,192.0,52.0,3353.0,,,
40137,Stephens County,44,-98.82,32.69,2308.54,0.02,0.26,,,,654.0,76.0,46908.0,39.0,7.0,2874.0,459.0,81.0,18915.0,409.0,49.0,20345.0,156.0,17.0,9744.0,768.0,87.0,30773.0,88.0,28.0,2838.0,418.0,92.0,17297.0,262.0,5.0,12722.0,356.0,40.0,10708.0,17.0,5.0,209.0,2259.0,120.0,88029.0,254.0,12.0,5434.0,1128.0,84.0,15010.0,692.0,121.0,19233.0,,,
40139,Texas County,21,-91.98,37.34,5306.75,0.0,0.01,,,,171.0,14.0,13636.0,0.0,4.0,0.0,1235.0,55.0,102764.0,267.0,34.0,12076.0,248.0,8.0,13378.0,253.0,40.0,13234.0,35.0,16.0,954.0,122.0,26.0,5509.0,,,,504.0,22.0,15608.0,,,,503.0,39.0,18862.0,37.0,4.0,295.0,691.0,51.0,8402.0,231.0,60.0,4849.0,,,
40141,Tillman County,8,-98.94,34.38,2277.21,0.0,0.0,4.0,3.0,44.0,,,,50.0,4.0,3516.0,18.0,9.0,422.0,113.0,11.0,5207.0,,,,75.0,15.0,2940.0,,,,20.0,8.0,1084.0,,,,,,,,,,140.0,15.0,3241.0,,,,81.0,12.0,1001.0,40.0,17.0,581.0,,,
40143,Tulsa County,637,-95.93,36.1,1520.29,0.42,0.65,32.0,9.0,1074.0,5711.0,306.0,668299.0,2921.0,42.0,294489.0,17128.0,1476.0,942332.0,15730.0,1155.0,968395.0,11815.0,378.0,695934.0,15163.0,1367.0,1142684.0,7130.0,983.0,293302.0,20027.0,2403.0,1460472.0,10328.0,180.0,983488.0,24610.0,1060.0,850167.0,7598.0,213.0,247956.0,53253.0,2123.0,2589192.0,4439.0,250.0,91279.0,36170.0,1701.0,569145.0,16090.0,1795.0,479363.0,12.0,12.0,282.0
40145,Wagoner County,77,-95.56,35.95,1529.76,0.05,0.52,,,,22.0,5.0,1388.0,13.0,4.0,927.0,979.0,191.0,43629.0,252.0,37.0,14324.0,56.0,15.0,3095.0,310.0,58.0,12233.0,40.0,27.0,1324.0,231.0,74.0,8600.0,0.0,3.0,0.0,327.0,62.0,8790.0,27.0,5.0,180.0,900.0,81.0,29169.0,92.0,8.0,1560.0,976.0,71.0,12231.0,385.0,100.0,8362.0,,,
40147,Washington County,52,-96.39,30.22,1098.88,0.05,0.02,,,,201.0,32.0,16986.0,99.0,5.0,7282.0,560.0,99.0,24194.0,118.0,28.0,5108.0,223.0,26.0,9874.0,715.0,90.0,40443.0,366.0,53.0,9312.0,1667.0,96.0,143985.0,0.0,8.0,0.0,1000.0,53.0,27187.0,596.0,13.0,10427.0,2899.0,169.0,126846.0,371.0,18.0,8342.0,1872.0,106.0,26570.0,1295.0,137.0,30728.0,,,
40149,Washita County,12,-99.0,35.29,2612.81,0.0,0.26,,,,55.0,16.0,3064.0,,,,78.0,22.0,3415.0,104.0,9.0,4542.0,26.0,5.0,967.0,98.0,18.0,4288.0,0.0,3.0,0.0,101.0,23.0,6615.0,,,,17.0,11.0,670.0,,,,297.0,12.0,8384.0,,,,62.0,10.0,877.0,70.0,28.0,1251.0,,,
40151,Woods County,9,-98.83,36.79,3341.08,0.0,0.01,,,,576.0,13.0,43302.0,,,,73.0,20.0,4391.0,246.0,22.0,8220.0,86.0,8.0,2494.0,175.0,25.0,8324.0,20.0,11.0,706.0,53.0,20.0,1299.0,,,,57.0,9.0,3905.0,,,,330.0,17.0,11288.0,23.0,4.0,370.0,335.0,26.0,3736.0,123.0,32.0,2764.0,,,
40153,Woodward County,21,-99.25,36.37,3227.81,0.01,0.13,,,,1045.0,77.0,69722.0,111.0,8.0,8650.0,427.0,63.0,23518.0,318.0,44.0,16604.0,82.0,9.0,3862.0,289.0,53.0,14823.0,130.0,31.0,6216.0,176.0,48.0,7312.0,,,,123.0,18.0,3414.0,30.0,5.0,343.0,1109.0,77.0,41809.0,44.0,5.0,550.0,744.0,55.0,12050.0,339.0,67.0,10274.0,,,
