Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
31145,Red Willow County,11,-100.46,40.17,1859.76,1.64,0.05,0,3,0,13,6,397,,,,147,39,5468,234,25,9715,84,12,1870,208,35,11639,48,11,882,122,27,4912,28,4,2970,49,17,965,50,4,939,625,42,26662,80,7,771,517,33,7453,113,36,2926,,,
31027,Cedar County,9,-91.13,41.76,1931.99,0.0,0.0,,,,4,3,90,,,,164,50,6888,194,28,8961,37,7,957,127,26,6334,10,7,414,78,12,2922,,,,24,9,835,66,4,1296,166,14,3949,19,5,314,149,16,1248,165,36,5185,,,
31045,Dawes County,9,-103.12,42.72,3628.91,1.61,0.01,6,3,245,,,,,,,105,30,3349,77,5,1537,46,9,1028,90,16,4136,7,5,102,68,17,2254,,,,35,7,717,11,6,221,444,33,18286,12,4,355,476,37,5534,66,31,1130,,,
31097,Johnson County,5,-97.36,32.38,975.82,0.0,0.0,,,,,,,,,,75,12,4257,52,6,1270,,,,53,11,2523,0,3,0,29,6,608,,,,,,,,,,269,11,9779,,,,61,8,520,42,12,659,,,
31033,Cheyenne County,10,-101.76,39.8,3098.74,0.0,0.0,,,,11,4,603,39,3,3593,82,23,3463,121,18,6688,48,9,1743,128,24,5921,21,8,644,61,15,3207,,,,0,4,0,,,,512,19,24410,0,4,0,436,36,7370,99,32,2475,,,
31047,Dawson County,24,-101.96,32.74,2640.32,1.65,0.02,56,7,1763,,,,0,4,0,369,68,12147,515,46,24104,112,12,4391,254,45,13960,25,12,595,182,54,6788,85,5,4232,248,24,8912,19,6,454,1307,70,46014,93,12,1173,697,63,9580,289,86,6924,,,
31071,Garfield County,2,-107.88,39.55,1480.11,0.0,0.0,,,,,,,,,,18,11,748,15,3,1101,,,,23,4,976,,,,19,10,622,,,,,,,,,,124,8,3166,,,,40,10,399,50,20,1322,,,
31125,Nance County,4,-98.0,41.39,1160.77,0.0,0.0,,,,,,,,,,23,7,676,68,7,1818,5,3,121,45,7,2145,,,,0,3,0,,,,,,,,,,118,9,2264,4,3,178,32,10,362,21,14,411,,,
31133,Pawnee County,3,-99.24,38.19,1121.94,0.0,0.0,,,,,,,,,,28,10,662,,,,,,,32,8,1859,,,,0,4,0,,,,,,,,,,93,5,4018,,,,28,6,216,12,6,266,,,
31167,Stanton County,6,-101.79,37.57,1116.34,0.0,0.0,,,,,,,,,,46,21,1904,57,5,2879,,,,32,4,1507,,,,8,4,235,,,,0,5,0,,,,32,10,3081,,,,21,4,363,38,14,745,,,
31175,Valley County,4,-98.98,41.56,1477.5,0.0,0.0,15,3,656,,,,,,,106,34,3192,91,6,3661,20,4,572,73,16,2972,,,,68,15,2572,,,,,,,,,,350,18,12619,,,,87,12,1109,84,23,1696,,,
31183,Wheeler County,1,-100.26,35.39,1490.76,0.0,0.0,,,,,,,,,,2,4,56,57,3,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7,161,,,,,,
